 id    type   Ptrue     P1      P2       Pi1      Pi2
 O_00833   O   143.97   143.88   238.10   143.88   135.69
 O_00834   O   277.01   274.73   157.23   266.67  1111.11
 O_00835   O   113.46   113.51   163.13   113.77   119.76
 O_00836   O   202.18   202.02   452.49   202.02   469.48
 O_00837   O   227.07   223.71   694.44   222.72   460.83
 O_00838   O   143.57   143.68   103.41   143.68   103.20
 O_00839   O   523.29   531.91   427.35   523.56   237.53
 O_00840   O   150.92   150.15   251.89   149.93   139.86
 O_00841   O   201.74   202.43   442.48   203.25   370.37
 O_00842   O   334.11   331.13   175.44   327.87   387.60
 O_00843   O   191.06   191.20   127.88   128.87   191.57
 O_00844   O   182.75   183.49   355.87   189.39   348.43
 O_00845   O   209.21   207.04   485.44   207.04   490.20
 O_00846   O   247.77   245.70   144.93   245.70   144.93
 O_00847   O   160.67   161.03   112.36   161.03   118.62
 O_00848   O   169.21   169.20   157.23   169.21   157.48
 O_00849   O   182.88   184.16   395.26   182.15   118.34
 O_00850   O   221.78   221.24   719.42   220.75   724.64
 O_00851   O   182.48   182.48   363.64   183.15   366.30
 O_00852   O   323.10   319.49  1063.83   318.47  1063.83
 O_00853   O   266.52   267.38   243.31   267.38   645.16
 O_00854   O   634.92   649.35  1176.47  1176.47   653.60
 O_00855   O   120.69   121.51   184.50   122.25   177.62
 O_00856   O   382.26   384.62   212.31   386.10   191.57
 O_00857   O   130.38   131.58   106.04   131.75   137.55
 O_00858   O   205.38   204.92   132.28   204.92   226.24
 O_00859   O   201.74   202.02   221.24   202.43   221.24
 O_00860   O   254.39   253.16  1136.36   253.16   283.29
 O_00861   O   253.81   257.07  1086.96   257.07  1086.96
 O_00862   O   163.64   163.40   286.53   163.67   258.40
 O_00863   O   242.01   240.38   877.19   252.53   534.76
 O_00864   O   281.61   280.90   537.63   274.73  1086.96
 O_00865   O   350.14   344.83   458.72   346.02   483.09
 O_00866   O   148.02   147.49   105.04   147.49   105.04
 O_00867   O   792.39   787.40   537.63   800.00  1587.30
 O_00868   O   196.39   196.85   347.22   348.43   195.31
 O_00869   O   207.08   207.47   462.96   462.96   207.90
 O_00870   O   239.52   240.38   145.77   240.96   145.77
 O_00871   O   130.38   130.21   201.61   120.34   130.21
 O_00872   O   191.06   191.57   224.72   190.84   386.10
 O_00873   O   270.42   272.48   980.39   641.03   273.22
 O_00874   O   691.56   666.67   483.09   492.61  1123.60
 O_00875   O   130.38   130.38   115.34   130.21   115.34
 O_00876   O   334.11   334.45   262.47   332.23   261.78
 O_00877   O   200.08   200.40   184.16   200.40   218.34
 O_00878   O   205.72   204.50  1219.51   204.92   123.31
 O_00879   O   243.19   242.72   271.74   243.31   271.74
 O_00880   O   261.44   259.74   636.94   259.74   294.12
 O_00881   O   163.64   163.67   294.99   163.93   258.40
 O_00882   O   202.18   202.43   452.49   202.43   186.57
 O_00883   O   202.72   202.02   130.72   202.02   131.23
 O_00884   O   634.92   625.00   787.40   719.42   164.20
 O_00885   O   146.26   146.41   236.97   147.28   239.23
 O_00886   O   271.74   269.54   243.31   269.54   243.31
 O_00887   O   350.14   350.88  1041.67   352.11  1086.96
 O_00888   O   340.02   380.23   334.45   383.14   331.13
 O_00889   O   171.88   171.82   321.54   171.53   319.49
 O_00890   O   148.02   148.59   163.67   149.25   158.23
 O_00891   O   161.68   113.38   116.28   113.77   168.92
 O_00892   O   226.19   225.23   699.30   227.79   909.09
 O_00893   O   179.12   177.62   287.36   176.99   289.86
 O_00894   O   607.53   606.06   229.36   228.83   602.41
 O_00895   O   232.29   232.56   142.45   232.56   155.52
 O_00896   O   361.66   362.32   181.49   362.32   181.49
 O_00897   O   206.40   206.19   487.80   206.61   478.47
 O_00898   O   208.59   209.21   134.05   208.77   134.23
 O_00899   O   205.72   204.92   131.58   204.92   131.93
 O_00900   O   319.69   319.49   171.23   320.51   174.22
 O_00901   O   146.26   145.99   240.38   145.99   136.99
 O_00902   O   547.05   549.45   757.58   549.45   751.88
 O_00903   O   171.76   171.23   322.58   170.94   404.86
 O_00904   O   564.97   134.23   180.51   134.05  1538.46
 O_00905   O   202.18   202.02   217.39   201.61   221.73
 O_00906   O   204.79   204.92   471.70   204.50   142.25
 O_00907   O   261.44   260.42   862.07   260.42   295.86
 O_00908   O   218.29   217.86   529.10   217.87   523.56
 O_00909   O   249.00   250.00   137.17   250.00   232.56
 O_00910   O   148.02   147.93   105.60   148.59   100.50
 O_00911   O   239.98   243.90   207.47   207.47   248.14
 O_00912   O   204.71   206.61   133.69   206.19   134.41
 O_00913   O   179.12   178.89   126.58   177.31   127.88
 O_00914   O   376.36   378.79   328.95   381.68   325.73
 O_00915   O   204.79   202.84   131.23   202.84   222.72
 O_00916   O   208.59   208.33   184.50   206.61   184.84
 O_00917   O   634.92   641.03   452.49   606.06   245.70
 O_00918   O   261.44   259.74   280.11   268.10  1041.67
 O_00919   O   388.35   393.70   500.00   500.00   395.26
 O_00920   O   171.76   172.12   187.27   172.71   186.92
 O_00921   O   215.01   215.05   239.23   237.53   215.52
 O_00922   O   299.58   296.74  1515.15   296.74  1408.45
 O_00923   O   200.12   199.60   108.23   200.00   108.46
 O_00924   O   200.12   427.35   200.00   425.53   198.41
 O_00925   O   233.81   233.10   462.96   233.10   462.96
 O_00926   O   171.88   344.83   187.97   344.83   187.97
 O_00927   O   263.37   263.16   231.48   265.96   313.48
 O_00928   O   762.78   862.07   543.48   862.07   543.48
 O_00929   O   361.66   357.14   181.82   353.36   118.20
 O_00930   O   152.25   153.37   108.23   154.56   284.90
 O_00931   O   127.60   127.39   199.60   126.90   191.57
 O_00932   O   182.48   182.48   121.07   182.48   195.31
 O_00933   O   205.72   205.76   564.97   205.34  1123.60
 O_00934   O   429.00   420.17   645.16   416.67   641.03
 O_00935   O   206.40   205.34   367.65   204.08   378.79
 O_00936   O   429.00   429.18   326.80   326.80   427.35
 O_00937   O   239.52   240.96   217.86   240.38   217.87
 O_00938   O   229.99   226.76   245.70   227.79   244.50
 O_00939   O   178.28   178.25   195.69   178.25   194.55
 O_00940   O   179.12   177.62   352.11   176.99   353.36
 O_00941   O   148.02   148.37   139.66   148.37   139.66
 O_00942   O   281.61   282.49   751.88   282.49   246.91
 O_00943   O   242.01   246.31   495.05   248.14   510.20
 O_00944   O   127.67   127.88   136.05   127.88   135.13
 O_00945   O   163.64   163.93   113.51   163.93   175.75
 O_00946   O   607.53   574.71  1190.48   574.71  1190.48
 O_00947   O   202.18   202.43   448.43   202.43   448.43
 O_00948   O   148.48   148.59   105.93   148.59   130.72
 O_00949   O   228.21   228.31   452.49   228.31   207.04
 O_00950   O   350.14   350.88   180.51   352.11   366.30
 O_00951   O   390.47   392.16   285.71   392.16   285.71
 O_00952   O   127.60   127.55   144.30   127.55   135.50
 O_00953   O   197.75   197.63   342.47   196.85   343.64
 O_00954   O   334.11   331.13   175.13   327.87   112.36
 O_00955   O   323.10   320.51   171.23   320.51   186.22
 O_00956   O   153.87   153.61   108.70   153.61   143.27
 O_00957   O   150.92   149.93   106.16   150.60   221.73
 O_00958   O   193.16   193.05   125.00   194.93   124.22
 O_00959   O   412.20   411.52   194.17   411.52   487.81
 O_00960   O   146.26   146.63   138.50   146.63   138.31
 O_00961   O   228.21   228.31   602.41   228.83   456.62
 O_00962   O   153.54   153.37   269.54   152.44   319.49
 O_00963   O   256.21   256.41   193.42   256.41   289.02
 O_00964   O   361.66   359.71   180.83   359.71   306.75
 O_00965   O   245.88   248.14   147.28   248.14   147.06
 O_00966   O   221.78   224.22   139.28   224.22   204.08
 O_00967   O   228.21   228.83   141.64   228.83   141.84
 O_00968   O   239.98   241.55   214.59   241.55   218.82
 O_00969   O   206.40   206.61   190.48   206.61   190.11
 O_00970   O   161.68   161.03   291.55   160.00   271.00
 O_00971   O   255.30   253.81   952.38   248.14   636.94
 O_00972   O   200.08   200.40   130.21   200.00   217.87
 O_00973   O   376.79   374.53   186.92   374.53   187.27
 O_00974   O   221.78   222.22   432.90   432.90   222.22
 O_00975   O   376.79   377.36   187.27   377.36   187.27
 O_00976   O   232.29   229.89   201.61   227.79   205.76
 O_00977   O   182.48   182.48   364.96   182.48   122.40
 O_00978   O   232.29   232.02   628.93   232.02   628.93
 O_00979   O   174.43   174.22   117.92   174.22   118.06
 O_00980   O   167.50   166.39   307.69   166.11   178.25
 O_00981   O   382.26   389.11   191.20   386.10   322.58
 O_00982   O   254.71   256.41   290.70   257.07   289.02
 O_00983   O   390.47   395.26   193.42   395.26   194.18
 O_00984   O   125.12   189.39   216.92   401.61   192.68
 O_00985   O   165.89   166.67   330.03   165.29   330.03
 O_00986   O   197.75   444.44   198.41   436.68   970.87
 O_00987   O   169.90   169.49   310.56   307.69   168.07
 O_00988   O   389.26   392.16  1724.14   393.70  1724.14
 O_00989   O   169.90   167.79   113.64   164.75   115.74
 O_00990   O   239.98   239.81   146.20   240.38   267.38
 O_00991   O   245.70   248.14   729.93   251.26   159.74
 O_00992   O   130.38   129.70   207.90   128.70   208.77
 O_00993   O   138.74   137.74   123.61   134.59   386.10
 O_00994   O   204.79   204.50   456.62   204.08   187.27
 O_00995   O   205.38   203.67   444.44   204.08   224.72
 O_00996   O   358.81   352.11   401.61   350.88   404.86
 O_00997   O   163.64   162.60   147.06   162.07   245.70
 O_00998   O   231.00   232.02   257.07   232.02   257.07
 O_00999   O   299.58   298.51   364.96   298.51   319.49
 O_01000   O   108.60   108.93   103.73   109.05   103.73
 O_01001   O   182.88   183.15   367.65   182.81   168.07
 O_01002   O   119.55   182.48   120.48   364.96   183.15
 O_01003   O   229.99   231.48   142.45   232.02   153.37
 O_01004   O   171.76   171.82   318.47   171.82   319.49
 O_01005   O   223.21   222.72   139.28   222.22   203.25
 O_01006   O   206.40   207.47   133.51   144.30   207.90
 O_01007   O   371.88   186.92   386.10   182.48   363.64
 O_01008   O   176.68   175.75   375.94   175.75   164.47
 O_01009   O   191.06   136.80   192.31   136.80   128.87
 O_01010   O   564.97   416.67   111.73   442.48   208.33
 O_01011   O   334.11   338.98   172.41   338.98   169.49
 O_01012   O   130.38   130.72   203.25   213.22   128.53
 O_01013   O   223.21   222.22   141.04   221.24   143.68
 O_01014   O   193.16   490.20   194.93   500.00   211.42
 O_01015   O   409.50   404.86   123.76   416.67   122.85
 O_01016   O   271.52   276.24  1190.48   289.02   370.37
 O_01017   O   146.80   146.63   105.15   146.63   137.55
 O_01018   O   361.66   361.01   184.16   361.01   429.19
 O_01019   O   127.67   126.90   114.68   127.39   119.76
 O_01020   O   179.12   179.21   193.42   179.21   194.18
 O_01021   O   108.60   108.70   114.94   108.81   114.55
 O_01022   O   148.48   149.03   253.16   150.83   247.53
 O_01023   O   109.23   108.70   154.56   108.70   104.28
 O_01024   O   203.62   203.25   354.61   203.25   355.87
 O_01025   O   241.31   239.81   704.23   943.40   242.13
 O_01026   O   171.76   171.82   109.41   171.53   109.41
 O_01027   O   195.81   200.00   204.08   205.76   335.57
 O_01028   O   196.39   196.08   181.16   196.08   181.49
 O_01029   O   249.00   246.91   305.81   245.10   310.56
 O_01030   O   148.48   148.81   277.78   148.81   278.55
 O_01031   O   150.92   149.93   106.72   149.48   160.00
 O_01032   O   160.67   161.03   112.36   161.03   173.91
 O_01033   O   277.01   273.22  1123.60   277.78  1123.60
 O_01034   O   206.40   206.19   242.72   206.19   180.83
 O_01035   O   171.76   172.41   131.58   172.71   132.45
 O_01036   O   119.98   120.19   177.62   120.05   114.16
 O_01037   O   564.97  1149.43   568.18  1136.36   280.90
 O_01038   O   204.71   204.50   222.22   204.08   222.72
 O_01039   O   221.78   222.22   242.72  1086.96   448.43
 O_01040   O   256.21   255.75   869.57   255.75   884.96
 O_01041   O   161.81   161.29   287.36   161.03   183.49
 O_01042   O   231.80   232.02   142.86   232.02   208.77
 O_01043   O   254.71   255.75   231.48   255.75   230.95
 O_01044   O   281.61   281.69   160.00   284.09   142.25
 O_01045   O   340.02   338.98   386.10   337.84   389.11
 O_01046   O   193.16   192.31   423.73   192.68   431.03
 O_01047   O   172.00   170.94   320.51   170.65   158.98
 O_01048   O   182.48   183.15   358.42   214.13   184.50
 O_01049   O   195.81   196.08   480.77   196.46   183.15
 O_01050   O   197.75   137.36   218.82   219.30   137.17
 O_01051   O   271.52   269.54   241.55   268.82   943.40
 O_01052   O   182.75   182.82   363.64   182.81   352.11
 O_01053   O   249.00   250.00   173.01   251.26   160.77
 O_01054   O   127.60   127.39   193.80   127.55   193.80
 O_01055   O   148.26   148.37   105.93   148.15   105.82
 O_01056   O   256.21   255.10   813.01   990.10   256.41
 O_01057   O   171.76   171.82   322.58   171.82   161.29
 O_01058   O   217.11   217.39   251.89   217.87   249.38
 O_01059   O   675.22   684.93   819.67   826.45   235.29
 O_01060   O   191.06   192.31   335.57   188.68   336.70
 O_01061   O   246.79   246.31   164.74   248.14   325.73
 O_01062   O   201.74   200.00   232.56   201.21   460.83
 O_01063   O   226.19   223.21   671.14   456.62   223.21
 O_01064   O   103.56   103.63   143.88   103.63   143.88
 O_01065   O   271.74   272.48  1123.60   272.48  1098.90
 O_01066   O   792.39   781.25   193.80   531.91   793.65
 O_01067   O   160.67   160.77   375.94   160.77   173.01
 O_01068   O   174.19   174.52   354.61   172.71   359.71
 O_01069   O   175.99   175.75   316.46   175.75   310.56
 O_01070   O   127.67   129.87   140.85   132.98   225.22
 O_01071   O   607.53   628.93   229.89   632.91  1538.46
 O_01072   O   176.68   175.75   119.76   175.75   119.76
 O_01073   O   295.60   300.30   418.41   295.86   179.21
 O_01074   O   270.27   268.82  1162.79  1136.36   272.48
 O_01075   O   171.76   172.12   369.00   172.41   367.65
 O_01076   O   231.80   231.48   197.24   232.02   198.02
 O_01077   O   208.59   208.33   131.06   204.50   134.41
 O_01078   O   447.83   349.65   699.30   357.14   476.19
 O_01079   O   382.26   375.94   476.19   337.84   429.19
 O_01080   O   340.02   348.43   432.90   436.68   196.46
 O_01081   O   429.00   431.03   198.41   432.90   199.60
 O_01082   O   174.43   173.61   325.73   172.71   374.53
 O_01083   O   165.89   163.13   342.47   163.93   332.23
 O_01084   O   208.99   413.22   206.61   413.22   206.61
 O_01085   O   164.53   332.23   166.94   342.47   166.67
 O_01086   O   215.01   212.77   134.05   216.45   448.43
 O_01087   O   243.19   242.72   689.66   242.13   680.27
 O_01088   O   175.04   175.44   333.33   175.75   163.13
 O_01089   O   130.38   130.38   200.00   198.41   130.21
 O_01090   O   382.26   383.14  1470.59   386.10  1470.59
 O_01091   O   179.12   179.53   355.87   348.43   185.19
 O_01092   O   340.02   338.98   386.10   336.70   389.11
 O_01093   O   218.29   216.92   523.56   217.39   440.53
 O_01094   O   239.52   240.38   145.77   240.96   218.82
 O_01095   O   254.71   254.45   353.36   255.75   346.02
 O_01096   O   125.12   124.69   193.80   125.47   172.12
 O_01097   O   204.79   204.50   364.96   203.67   555.56
 O_01098   O   188.79   403.23   214.13   420.17   208.33
 O_01099   O   109.23   109.05   103.63   108.93   103.63
 O_01100   O   204.71   205.76   142.25   206.19   188.32
 O_01101   O   182.48   183.49   364.96   183.82   364.96
 O_01102   O   266.31   326.80   265.96   312.50   183.49
 O_01103   O   200.08   200.00   130.55   398.41   199.20
 O_01104   O   148.48   148.59   275.48   148.59   158.23
 O_01105   O   212.50   213.68   135.14   213.22   636.94
 O_01106   O   205.72   206.19   131.75   206.61   133.16
 O_01107   O   388.35   337.84   395.26   337.84   395.26
 O_01108   O   233.81   233.64   211.86   233.10   210.97
 O_01109   O   213.77   216.45   917.43   480.77   636.94
 O_01110   O   208.51   208.33   128.21   207.47   465.12
 O_01111   O   174.43   175.75   159.49   174.82   118.77
 O_01112   O   254.39   251.89   149.93   251.26   284.09
 O_01113   O   232.29   232.02   277.01   232.56   277.01
 O_01114   O   212.50   518.13   213.68   520.83  1086.96
 O_01115   O   207.08   206.61   462.96   207.04   460.83
 O_01116   O   176.68   175.44   150.38   162.34   175.13
 O_01117   O   792.39   775.19  1052.63   769.23   265.25
 O_01118   O   239.52   239.81   719.42   240.38   719.42
 O_01119   O   350.14   346.02   257.07   346.02   487.81
 O_01120   O   323.10   319.49   400.00   318.47   398.41
 O_01121   O   148.48   148.81   278.55   148.59   140.06
 O_01122   O   227.07   227.27   140.85   127.39   227.27
 O_01123   O   200.08   200.00   219.78   199.60   218.82
 O_01124   O   249.00   245.10   217.86   245.70   476.19
 O_01125   O   119.98   120.05   177.94   119.90   178.25
 O_01126   O   429.00   431.03   523.56   431.03   526.32
 O_01127   O   208.59   209.21   232.02   209.21   231.48
 O_01128   O   182.48   181.16   121.21   180.18   124.07
 O_01129   O   172.00   349.65   173.91   350.88   173.31
 O_01130   O   376.79   375.94   318.47   375.94   321.54
 O_01131   O   174.52   175.13   153.61   113.38   162.60
 O_01132   O   792.39   757.58  1818.18   763.36   233.65
 O_01133   O   160.67   161.03   112.36   161.03   112.87
 O_01134   O   202.72   202.43   130.89   202.84   131.58
 O_01135   O   148.26   147.49   220.26   147.28   138.31
 O_01136   O   182.88   185.87   304.88   186.57   327.87
 O_01137   O   175.04   175.44   332.23   331.13   191.94
 O_01138   O   222.82   140.85   226.76   141.04   226.76
 O_01139   O   376.36  1086.96   117.23   117.79   106.84
 O_01140   O   204.79   203.67   223.71   203.67   223.71
 O_01141   O   239.52   237.53   225.73   578.03   227.79
 O_01142   O   241.31   240.38   146.41   240.38   268.82
 O_01143   O   175.04   350.88   176.68   346.02   175.13
 O_01144   O   224.12   224.72   134.41   212.77   219.78
 O_01145   O   208.99   208.77   574.71   462.96   208.33
 O_01146   O   174.43   174.22   325.73   173.91   324.68
 O_01147   O   200.08   200.00   454.55   200.40   444.44
 O_01148   O   188.79   188.68   207.90   207.04   189.04
 O_01149   O   188.79   189.39   384.62   460.83   189.75
 O_01150   O   221.78   222.72   429.18   222.72   442.48
 O_01151   O   141.24   141.64   232.02   138.50   100.60
 O_01152   O   231.00   228.31   598.80   227.79   574.71
 O_01153   O   203.79   203.67   454.55   202.84   448.43
 O_01154   O   195.81   196.85   182.15   197.24   182.15
 O_01155   O   161.68   161.29   173.61   161.29   173.61
 O_01156   O   202.18   202.02   126.74   201.61   480.77
 O_01157   O   203.79   200.40   361.01   193.05   361.01
 O_01158   O   182.48   183.15   199.60   183.49   200.40
 O_01159   O   197.75   199.60   129.20  1587.30   198.41
 O_01160   O   169.21   168.07   113.25   170.65   113.38
 O_01161   O   108.60   108.46   152.67   108.70   101.22
 O_01162   O   382.26   386.10   191.20   383.14   191.57
 O_01163   O   142.63   141.24   101.32   135.50   138.50
 O_01164   O   206.40   207.04   228.83   207.04   228.83
 O_01165   O   389.26   398.41   344.83   398.41   344.83
 O_01166   O   205.72   204.92   131.23   205.34   131.75
 O_01167   O   227.07   227.27   456.62   227.79   456.62
 O_01168   O   175.04   175.13   113.77   113.64   175.44
 O_01169   O   119.98   119.90   179.53   121.51   168.63
 O_01170   O   178.28   178.25   155.52   177.31   155.28
 O_01171   O   171.76   172.12   320.51   172.12   159.74
 O_01172   O   243.19   243.31   215.98   243.31   271.00
 O_01173   O   277.01   275.48   322.58   276.24   246.31
 O_01174   O   239.52   239.81   269.54   239.81   269.54
 O_01175   O   109.23   108.81   162.87   108.81   104.28
 O_01176   O   243.19   242.72   671.14   242.72   666.67
 O_01177   O   188.79   189.04   380.23   188.68   125.47
 O_01178   O   208.51   209.21   381.68   209.21   380.23
 O_01179   O   447.83   465.12   233.64   232.56   222.22
 O_01180   O   202.18   202.02   452.49   201.61   130.21
 O_01181   O   334.11   342.47   176.99   325.73   175.13
 O_01182   O   607.53   595.24  1587.30   595.24  1562.50
 O_01183   O   222.82   222.22   140.06   222.72   140.25
 O_01184   O   256.21   257.07   135.50   257.07   231.48
 O_01185   O   143.57   143.47   134.23   143.47   134.41
 O_01186   O   564.97   684.93   367.65   324.68   259.07
 O_01187   O   166.97   165.29   114.42   156.01   110.25
 O_01188   O   160.67   160.51   150.15   160.77   150.60
 O_01189   O   205.38   206.19   460.83   425.53   207.90
 O_01190   O   182.75   182.48   363.64   182.48   198.81
 O_01191   O   204.79   204.50   224.22   203.67   224.22
 O_01192   O   233.81   233.10   645.16   233.10   645.16
 O_01193   O   247.77   248.76   219.78   245.10   221.73
 O_01194   O   208.99   210.53   134.23   210.53   134.59
 O_01195   O   221.78   222.72   247.52   222.72   247.53
 O_01196   O   120.69   121.36   178.57   121.36   177.62
 O_01197   O   279.56   279.33   251.26   279.33   250.00
 O_01198   O   221.78   222.72   140.06   222.72   140.25
 O_01199   O   169.90   168.92   156.49   168.35   156.50
 O_01200   O   108.60   108.46   153.14   108.58   114.16
 O_01201   O   159.64   158.98   111.86   158.48   110.01
 O_01202   O   176.68   170.36   117.23   170.36   117.23
 O_01203   O   390.47   190.48   393.70   190.84   396.82
 O_01204   O   447.83   310.56   159.74   309.60   159.24
 O_01205   O   330.25   353.36   180.83   366.30   184.16
 O_01206   O   322.06   318.47   175.44   320.51   311.53
 O_01207   O   358.81   359.71   273.22   359.71   315.46
 O_01208   O   160.67   161.03   285.71   161.03   147.49
 O_01209   O   103.56   103.95   142.86   101.01   141.64
 O_01210   O   201.74   202.02   238.66   203.25   239.23
 O_01211   O   175.04   175.13   118.76   176.06   505.05
 O_01212   O   208.59   208.33   133.51   208.33   133.33
 O_01213   O   224.12   448.43   224.22   448.43   223.71
 O_01214   O   350.14   347.22   178.25   362.32   184.84
 O_01215   O   178.28   179.53   353.36   179.86   166.94
 O_01216   O   241.31   240.38   215.05   240.96   194.93
 O_01217   O   232.29   232.02   636.94   232.02   211.86
 O_01218   O   208.99   213.68   380.23   213.22   378.79
 O_01219   O   201.74   201.21   240.38   202.02   240.96
 O_01220   O   146.26   147.28   111.86   109.41   148.59
 O_01221   O   323.10   321.54   377.36   320.51   375.94
 O_01222   O   167.50   167.50   308.64   167.22   263.85
 O_01223   O   182.75   182.82   364.96   182.81   122.55
 O_01224   O   119.55   119.33   175.44   119.33   160.77
 O_01225   O   160.67   161.55   325.73   161.55   325.73
 O_01226   O   202.72   202.84   448.43   202.84   186.57
 O_01227   O   143.57   143.68   125.47   141.04   198.81
 O_01228   O   142.63   143.06   226.76   146.41   140.65
 O_01229   O   334.11   331.13   168.07   331.13   168.07
 O_01230   O   182.88   182.48   364.96   182.48   121.36
 O_01231   O   178.28   178.89   347.22   175.75   358.42
 O_01232   O   201.74   200.80   483.09   201.61   387.60
 O_01233   O   166.97   166.67   308.64   166.39   308.64
 O_01234   O   231.00   229.36   591.72   229.36   208.33
 O_01235   O   279.56   283.29   408.16   296.74   353.36
 O_01236   O   271.52   279.33   209.64   159.49   308.64
 O_01237   O   159.64   160.00   286.53   153.85   310.56
 O_01238   O   202.18   202.84   450.45   202.43   185.87
 O_01239   O   429.00   436.68   724.64   436.68   366.30
 O_01240   O   127.67   128.04   121.07   128.04   121.06
 O_01241   O   191.06   189.75   133.87   133.16   208.77
 O_01242   O   361.66   358.42   180.83   361.01   181.82
 O_01243   O   165.89   164.74   299.40   164.20   184.50
 O_01244   O   143.97   143.88   103.52   143.68   153.14
 O_01245   O   218.29   218.34   242.72   218.82   241.55
 O_01246   O   148.26   148.15   199.60   140.84   204.92
 O_01247   O   176.55   177.62   120.48   177.94   164.47
 O_01248   O   247.77   246.91   164.20   249.38   160.51
 O_01249   O   172.65   175.13   321.54   326.80   174.82
 O_01250   O   245.88   243.31   314.47   238.66   259.07
 O_01251   O   255.30   254.45   319.49   253.81   324.68
 O_01252   O   113.46   112.99   161.81   112.49   159.24
 O_01253   O   277.01   280.11   117.23   285.71   775.19
 O_01254   O   228.21   235.29   689.66   236.41   675.68
 O_01255   O   108.60   108.46   153.14   109.41   155.04
 O_01256   O   299.58   296.74   260.42   296.74   261.10
 O_01257   O   167.50   114.81   166.94   112.99   157.73
 O_01258   O   208.99   207.90   132.10   206.19   132.28
 O_01259   O   146.80   147.49   240.96   147.71   107.18
 O_01260   O   178.28   367.65   185.53   366.30   192.68
 O_01261   O   203.79   386.10   320.51   375.94   190.48
 O_01262   O   358.42   361.01   181.49   361.01   181.49
 O_01263   O   167.50   167.22   378.79   167.50   248.14
 O_01264   O   195.81   196.46   127.39   195.69   220.75
 O_01265   O   340.02   344.83   316.46   333.33   167.22
 O_01266   O   243.19   243.31   203.25   243.31   271.74
 O_01267   O   254.71   326.80   258.40   315.46   166.67
 O_01268   O   358.81   359.71   271.74   359.71  1851.85
 O_01269   O   226.19   225.73   140.45   226.24   452.49
 O_01270   O   205.72   210.53   497.51   213.22   507.61
 O_01271   O   224.12   223.21   440.53   440.53   223.21
 O_01272   O   119.98   119.62   175.75   119.62   175.44
 O_01273   O   299.58   299.40   165.29   299.40   166.11
 O_01274   O   239.98   240.96   194.17   240.96   193.05
 O_01275   O   127.67   126.58   117.10   126.42   119.05
 O_01276   O   239.98   238.66   485.44   241.55   500.00
 O_01277   O   152.25   152.21   108.46   152.21   108.70
 O_01278   O   218.29   216.92   529.10   216.45   196.46
 O_01279   O   108.60   108.93   153.61   108.93   153.85
 O_01280   O   277.01   277.78  1123.60   277.78  1123.60
 O_01281   O   143.97   143.68   103.63   143.47   104.17
 O_01282   O   249.00   251.26   171.23   251.89   307.69
 O_01283   O   113.46   113.38   106.38   114.81   105.71
 O_01284   O   371.88   206.19   375.94   330.03   206.61
 O_01285   O   271.52   269.54   155.76   267.38   155.52
 O_01286   O   263.37   263.85   239.23   264.55   239.23
 O_01287   O   207.08   193.80   408.16   390.62   187.27
 O_01288   O   172.65   343.64   170.36   343.64   170.36
 O_01289   O   174.43   173.61   324.68   173.01   187.62
 O_01290   O   120.69   121.07   344.83   120.48   346.02
 O_01291   O   330.25   332.23   289.86   333.33   290.70
 O_01292   O   203.62   202.84   452.49   203.25   224.72
 O_01293   O   242.01   242.72   313.48   242.72   315.46
 O_01294   O   120.69   120.77   178.57   120.77   127.06
 O_01295   O   270.42   272.48   311.53   272.48   310.56
 O_01296   O   166.97   167.50   363.64   167.78   364.96
 O_01297   O   182.88   181.82   193.05   181.16   195.31
 O_01298   O   127.60   127.39   140.45   127.39   140.06
 O_01299   O   270.42   273.22  1086.96  1086.96   273.22
 O_01300   O   245.88   248.76   115.47   248.76   115.47
 O_01301   O   182.48   183.15   122.10   183.82   122.25
 O_01302   O   163.40   165.29   113.90   170.07   117.92
 O_01303   O   239.52   238.66   201.21   238.66   201.21
 O_01304   O   270.42   271.00  1041.67  1086.96   277.78
 O_01305   O   169.21   116.28   170.07   171.82   116.82
 O_01306   O   376.08   384.62   543.48   401.61   520.83
 O_01307   O   231.00   227.27   138.50   225.22   462.96
 O_01308   O   153.54   163.40   288.18   163.40   288.18
 O_01309   O   197.75   425.53   515.46   425.53   515.46
 O_01310   O   358.81   354.61   181.16   354.61   181.16
 O_01311   O   171.76   171.82   314.47   172.71   155.52
 O_01312   O   245.88   248.76   581.40   246.31   606.06
 O_01313   O   334.11   330.03   173.31   328.95   283.29
 O_01314   O   241.31   240.38   196.85   240.96   215.05
 O_01315   O   153.87   153.85   166.67   154.08   165.56
 O_01316   O   208.59   211.86   387.60   396.82   200.00
 O_01317   O   279.56   279.33   341.30   160.26   335.57
 O_01318   O   217.11   216.92   136.99   216.45   136.99
 O_01319   O   203.62   202.43   131.06   202.02   185.87
 O_01320   O   150.92   150.15   106.95   149.48   140.25
 O_01321   O   254.39   253.16   564.97   253.16   568.18
 O_01322   O   163.40   163.40   289.86   144.51   163.40
 O_01323   O   195.81   196.46   490.20   196.46   213.68
 O_01324   O   172.65   115.21   173.61   113.51   169.78
 O_01325   O   127.60   127.39   191.94   127.23   191.21
 O_01326   O   412.20   440.53   427.35   442.48   202.84
 O_01327   O   176.55   175.75   119.62   175.75   190.48
 O_01328   O   218.29   218.34   242.13   218.82   240.96
 O_01329   O   148.02   147.49   132.80   147.93   132.63
