 id    type   Ptrue     P1      P2       Pi1      Pi2
 O_00114   O   204.79   203.67   132.28   202.84   141.24
 O_00115   O   226.19   225.23   571.43   225.73   571.43
 O_00116   O   222.82   223.21   139.28   223.71   139.66
 O_00117   O   299.58   166.94   298.51   166.94   297.62
 O_00118   O   196.39   196.08   425.53   196.46   427.35
 O_00119   O   241.31   243.31   724.64   243.90   120.77
 O_00120   O   277.01   277.01   243.90   277.01   245.70
 O_00121   O   103.56   103.63   144.30   103.95   145.14
 O_00122   O   217.11   216.45   238.10   216.45   238.66
 O_00123   O   249.00   502.51   757.58   502.51   763.36
 O_00124   O   203.62   202.43   235.85   202.43   235.85
 O_00125   O   207.08   207.47   132.80   207.90   132.98
 O_00126   O   120.69   119.90   344.83   119.62   112.87
 O_00127   O   358.42   357.14   421.94   357.14   423.73
 O_00128   O   382.26   186.92   378.79   194.18   187.62
 O_00129   O   197.75   196.85   505.05   196.85   507.61
 O_00130   O   204.79   203.67   358.42   203.25   359.71
 O_00131   O   390.47   390.62   191.20   395.26   193.05
 O_00132   O   174.43   172.41   355.87   123.00   179.21
 O_00133   O   195.81   196.46   429.18   196.46   166.67
 O_00134   O   195.81   197.63   128.21   197.63   183.49
 O_00135   O   376.36   381.68   188.32   381.68   189.04
 O_00136   O   299.58   297.62   361.01   296.74   361.01
 O_00137   O   193.16   192.68   324.68   190.84   335.57
 O_00138   O   350.14   352.11   420.17   353.36   418.41
 O_00139   O   103.56   103.63   143.27   107.18   142.86
 O_00140   O   161.81   161.81   112.74   161.55   112.61
 O_00141   O   675.22   653.59   729.93   847.46   238.09
 O_00142   O   634.92   636.94  1369.86   632.91  1388.89
 O_00143   O   389.26   384.62   187.27   384.62   202.84
 O_00144   O   146.26   147.06   255.75   150.15   262.47
 O_00145   O   169.06   170.36   332.23   335.57   167.78
 O_00146   O   319.69   319.49   787.40   319.49   781.25
 O_00147   O   281.61   284.09   160.51   282.49   160.51
 O_00148   O   143.97   143.47   134.95   143.47   134.77
 O_00149   O   204.71   204.92   150.38   208.33   145.99
 O_00150   O   175.04   175.44   118.48   175.75   127.23
 O_00151   O   208.51   211.42   568.18   211.86   512.82
 O_00152   O   174.19   173.91   337.84   173.61   338.98
 O_00153   O   148.48   148.37   246.91   148.15   247.53
 O_00154   O   245.88   244.50   213.22   244.50   215.52
 O_00155   O   208.51   207.90   133.69   134.05   187.62
 O_00156   O   174.43   173.91   124.84   173.91   124.84
 O_00157   O   227.07   227.27   456.62   227.27   456.62
 O_00158   O   376.79   374.53   325.73   374.53   325.73
 O_00159   O   217.11   216.92   186.92   216.45   371.75
 O_00160   O   182.75   183.15   366.30   183.15   198.81
 O_00161   O   209.21   206.19   364.96   207.47   392.16
 O_00162   O   203.79   203.25   357.14   203.67   358.42
 O_00163   O   176.68   286.53   178.57   176.06   361.01
 O_00164   O   241.31   240.96   215.05   240.38   215.98
 O_00165   O   249.00   213.68   247.52   214.13   500.00
 O_00166   O   205.38   204.92   131.41   205.34   564.97
 O_00167   O   113.46   112.87   161.03   112.74   160.26
 O_00168   O   218.29   218.82   137.93   219.78   201.21
 O_00169   O   164.53   167.50   146.84   169.49   151.51
 O_00170   O   224.12   222.72   495.05   223.71   476.19
 O_00171   O   205.38   204.92   225.73   204.92   187.97
 O_00172   O   222.82   223.21   558.66   223.71   201.61
 O_00173   O   201.74   202.02   186.22   202.02   185.53
 O_00174   O   390.47   400.00   434.78   400.00   434.78
 O_00175   O   231.00   230.95   141.64   226.24   526.32
 O_00176   O   165.89   165.56   315.46   164.20   321.54
 O_00177   O   429.00   431.03   526.32   431.03   523.56
 O_00178   O   222.82   221.24   135.50   232.02   134.95
 O_00179   O   148.26   148.37   246.91   148.59   215.52
 O_00180   O   208.99   208.77   133.69   460.83   208.33
 O_00181   O   243.19   244.50   729.93   490.20   253.81
 O_00182   O   150.92   150.60   107.07   150.15   251.89
 O_00183   O   169.21   169.20   314.47   157.98   169.21
 O_00184   O   792.39   781.25  1162.79   775.19   543.48
 O_00185   O   281.61   282.49   152.91   284.90   249.38
 O_00186   O   202.72   203.25   222.72   203.67   222.22
 O_00187   O   172.00   173.01   152.21   173.31   151.98
 O_00188   O   254.39   253.16   199.20   199.60  1149.42
 O_00189   O   143.97   143.47   490.20   143.47   490.20
 O_00190   O   376.79   375.94   187.97   375.94   188.68
 O_00191   O   201.74   202.02   223.21   202.43   222.22
 O_00192   O   141.24   141.24   198.81   141.24   198.81
 O_00193   O   299.58   299.40   248.14   299.40   252.53
 O_00194   O   241.31   246.91   150.38   246.91   151.98
 O_00195   O   243.19   244.50   598.80   244.50   602.41
 O_00196   O   229.99   230.41   259.74   230.95   259.07
 O_00197   O   203.50   204.08   130.21   358.42   381.68
 O_00198   O   130.38   130.38   199.20   130.38   199.60
 O_00199   O   607.53   595.24  1538.46   602.41  1449.28
 O_00200   O   204.79   203.67   131.58   203.25   446.43
 O_00201   O   152.25   151.75   107.87   150.83   256.41
 O_00202   O   389.26   387.60   187.97   387.60   204.08
 O_00203   O   263.37   266.67   320.51   271.00   158.98
 O_00204   O   197.75   196.85   342.47   518.13   347.22
 O_00205   O   169.21   169.49   157.23   169.49   157.48
 O_00206   O   229.99   232.02   641.03   232.56   641.03
 O_00207   O   200.08   200.00   124.07   199.60   124.22
 O_00208   O   330.25   328.95   380.23   330.03   381.68
 O_00209   O   119.98   120.19   177.94   120.34   127.23
 O_00210   O   270.27   270.27  1086.96   268.82  1098.90
 O_00211   O   209.21   208.33   462.96   208.33   460.83
 O_00212   O   333.44   340.14   302.11   340.14   302.12
 O_00213   O   212.50   211.86   495.05   211.42   485.44
 O_00214   O   607.53   613.50  1612.90   613.50  1612.90
 O_00215   O   208.99   387.60   210.08   387.60   105.26
 O_00216   O   178.28   179.21   354.61   178.25   354.61
 O_00217   O   207.08   207.47   403.23   207.04   418.41
 O_00218   O   119.98   119.90   178.57   119.90   180.83
 O_00219   O   165.89   165.56   114.68   165.56   178.25
 O_00220   O   182.75   182.15   362.32   182.15   363.64
 O_00221   O   176.68   285.71   326.80   325.73   285.71
 O_00222   O   195.81   197.24   232.56   198.02   390.62
 O_00223   O   242.01   242.72   729.93   485.44   242.72
 O_00224   O   227.07   228.31   141.24   228.31   141.64
 O_00225   O   205.72   205.76   132.28   132.28   206.19
 O_00226   O   127.67   103.63   127.71   103.84   129.53
 O_00227   O   172.65   173.01   117.65   173.01   117.51
 O_00228   O   127.60   127.39   119.47   119.76   127.06
 O_00229   O   447.83   505.05   216.45   505.05   216.45
 O_00230   O   208.99   208.33   380.23   208.33   380.23
 O_00231   O   223.21   222.22   403.23   225.22   448.43
 O_00232   O   246.79   246.91   546.45   246.91   546.45
 O_00233   O   182.88   182.48   348.43   182.48   338.98
 O_00234   O   675.22   392.16   469.48   434.78   314.46
 O_00235   O   202.72   202.84   187.62   203.25   187.62
 O_00236   O   197.75   197.24   145.99   200.80   142.65
 O_00237   O   223.21   222.72   564.97   222.22   243.90
 O_00238   O   204.79   383.14   130.55   393.70   196.85
 O_00239   O   277.01   277.01   249.38   277.01   313.48
 O_00240   O   222.82   223.21   203.67   223.21   203.25
 O_00241   O   390.62   381.68   226.24   381.68   226.24
 O_00242   O   198.02   199.20   483.09   200.80   495.05
 O_00243   O   271.52   271.00   952.38   270.27   943.40
 O_00244   O   523.29   206.61   190.11   200.80   343.64
 O_00245   O   204.79   204.92   363.64   204.08   357.14
 O_00246   O   221.78   224.22   139.08   446.43   210.08
 O_00247   O   205.72   205.34   460.83   205.34   189.39
 O_00248   O   376.36   378.79   187.97   380.23   189.39
 O_00249   O   200.12   200.00   350.88   199.60   352.11
 O_00250   O   382.26   384.62   210.08   384.62   175.44
 O_00251   O   103.56   103.41   100.50   103.09   154.80
 O_00252   O   261.44   257.73   980.39   259.74   284.90
 O_00253   O   182.88   182.48   364.96   182.48   366.30
 O_00254   O   231.00   230.41   684.93   230.95   456.62
 O_00255   O   358.42   357.14   478.47   369.00   534.76
 O_00256   O   217.11   218.34   134.95   134.59   143.47
 O_00257   O   160.67   161.55   111.61   162.07   155.28
 O_00258   O   228.21   215.52   224.72   215.98   135.13
 O_00259   O   193.16   194.93   429.18   195.31   418.41
 O_00260   O   242.01   237.53   319.49   237.53   319.49
 O_00261   O   207.08   204.92   462.96   458.72   204.92
 O_00262   O   270.27   266.67   334.45   266.67   330.03
 O_00263   O   205.38   205.34   456.62   205.34   454.55
 O_00264   O   271.52   271.00  1041.67   291.55   275.48
